skip	done	track_number	start_time	session_date	session_name	style_tags	current_track_title	top_track_artist	top_track_title	bottom_track_artist	bottom_track_title	output_filename	video_title	video_description	publish_datetime	full_session	Notes	publish_date	publish_time											
0	0	12	00:36:32	210730	Remember	 #remember #cantaditas #radical	Trouser Enthusiasts - Sweet release	Jas Van Houten	Din Dah	Trouser Enthusiasts	Sweet release	210730_12	Jas Van Houten vs Trouser Enthusiasts - INITdj #session #dj #remember #cantaditas #radical	Jas Van Houten Din Dah  vs  Trouser Enthusiasts Sweet release  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_12]	2022-09-30T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-30	23:00											
0	0	13	00:38:29	210730	Remember	 #remember #cantaditas #radical	Ingo Star - Dial P 4 phat	Trouser Enthusiasts	Sweet release	Ingo Star	Dial P 4 phat	210730_13	Trouser Enthusiasts vs Ingo Star - INITdj #session #dj #remember #cantaditas #radical	Trouser Enthusiasts Sweet release  vs  Ingo Star Dial P 4 phat  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_13]	2022-09-26T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-26	19:00											
0	0	14	00:42:01	210730	Remember	 #remember #cantaditas #radical	Toni Atomic - Think love	Ingo Star	Dial P 4 phat	Toni Atomic	Think love	210730_14	Ingo Star vs Toni Atomic - INITdj #session #dj #remember #cantaditas #radical	Ingo Star Dial P 4 phat  vs  Toni Atomic Think love  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_14]	2022-10-01T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-01	04:00											
0	0	15	00:44:12	210730	Remember	 #remember #cantaditas #radical	Toms Project - Party time 2000	Toni Atomic	Think love	Toms Project	Party time 2000	210730_15	Toni Atomic vs Toms Project - INITdj #session #dj #remember #cantaditas #radical	Toni Atomic Think love  vs  Toms Project Party time 2000  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_15]	2022-09-26T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-26	23:00											
0	0	16	00:46:37	210730	Remember	 #remember #cantaditas #radical	Solar System - Because of you	Toms Project	Party time 2000	Solar System	Because of you	210730_16	Toms Project vs Solar System - INITdj #session #dj #remember #cantaditas #radical	Toms Project Party time 2000  vs  Solar System Because of you  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_16]	2022-10-01T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-01	08:00											
0	0	17	00:49:40	210730	Remember	 #remember #cantaditas #radical	Abel the kid Raul Ortiz - Flamenkito	Solar System	Because of you	Abel the kid Raul Ortiz	Flamenkito	210730_17	Solar System vs Abel the kid Raul Ortiz - INITdj #session #dj #remember #cantaditas #radical	Solar System Because of you  vs  Abel the kid Raul Ortiz Flamenkito  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_17]	2022-09-27T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-27	04:00											
0	0	18	00:51:57	210730	Remember	 #remember #cantaditas #radical	Sr Peli Feat Suzzan - In your eyes	Abel the kid Raul Ortiz	Flamenkito	Sr Peli Feat Suzzan	In your eyes	210730_18	Abel the kid Raul Ortiz vs Sr Peli Feat Suzzan - INITdj #session #dj #remember #cantaditas #radical	Abel the kid Raul Ortiz Flamenkito  vs  Sr Peli Feat Suzzan In your eyes  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_18]	2022-10-01T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-01	19:00											
0	0	19	00:53:41	210730	Remember	 #remember #cantaditas #radical	Toni Atomic - Jumping style	Sr Peli Feat Suzzan	In your eyes	Toni Atomic	Jumping style	210730_19	Sr Peli Feat Suzzan vs Toni Atomic - INITdj #session #dj #remember #cantaditas #radical	Sr Peli Feat Suzzan In your eyes  vs  Toni Atomic Jumping style  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_19]	2022-09-27T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-27	08:00											
0	0	20	00:56:46	210730	Remember	 #remember #cantaditas #radical	Jade - Fantasy	Toni Atomic	Jumping style	Jade	Fantasy	210730_20	Toni Atomic vs Jade - INITdj #session #dj #remember #cantaditas #radical	Toni Atomic Jumping style  vs  Jade Fantasy  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_20]	2022-10-01T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-01	23:00											
0	0	21	00:58:44	210730	Remember	 #remember #cantaditas #radical	KDC - Bass you	Jade	Fantasy	KDC	Bass you	210730_21	Jade vs KDC - INITdj #session #dj #remember #cantaditas #radical	Jade Fantasy  vs  KDC Bass you  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_21]	2022-09-27T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-27	19:00											
